"Maryland Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Carbon dioxide",71.2514516399513,69.6369945601546,69.8482357547895,72.02775059999361,73.153975384612,72.7023678915253,75.20889955732069,76.2553134151059,78.88315984164599,81.27996193839908,81.33564614942411,81.98285653566491,82.5075050071422,85.07629557565569,86.23149233485161,87.4846637769099,80.81521660314449,81.60034807382279,76.38090465465041,72.7690809440985,72.4770551110627,72.04234361794279,64.0226136268323,63.2894249652921,66.05402032121059,64.32575050689259,62.3487997940545,56.81124272563211,63.171874216631,58.5949240891383,49.814349220276995,54.5494130923841
"Methane",5.2465084150976,5.1807587261892,5.1101586272268005,5.0619893596664,4.8506014726848,4.501003757166,4.2798518380408,4.0088948690196,3.7384773570339997,3.7216715163404004,3.5977120982488002,3.5263762169384,3.6469905872596,3.6444389569588,3.5730891127568003,3.4383986577696004,3.3922630950152,3.2242068825484003,3.1678038298004,3.0839799973135995,4.1792323043464,4.0381372166632,3.6959899561536,3.5547008010976002,3.6859466869371995,3.4708409933371995,3.5020208418719996,3.565475740274,3.5714222317452005,3.5857271219363995,3.4731098857336002,3.4275716821947997
"Fluorinated gases",3.98693245016,3.4960292054414,3.6075758518716,3.5973262923008,3.7769555819808,3.7779852611715996,4.0481530261423995,2.9242209297924,1.4696584107036998,1.3739399636498002,1.8146530780792998,1.6147987158402999,1.9477774011316997,1.8701459173896,1.8908629219126998,2.0073357890326995,1.8678010776760001,1.9906185365041,2.1274812693699,2.2049561464085996,2.0346470683007,2.301306374575686,2.435554557519709,2.8165895001599863,3.1884372751165464,3.0483976096120116,3.14107154386077,2.640185438372965,2.9697027728038834,2.8979033599591997,3.1335785709714012,3.289161959006277
"Nitrous oxide",2.345444181347,2.359566037389,2.518532989716,2.526503621715,2.6049193267535,2.6758505574775002,2.7278329391129996,2.61496886719,2.6313124541349997,2.6037762936675004,2.8590472128549997,2.6895827755129997,2.655498517277,2.624172744423,2.6896157667410003,2.5531645573545,2.4281328140664997,2.3423301673274994,2.3250347465454997,2.2858971051005,2.102714028694,2.2045789363905004,2.055310268855,2.0366485728125,2.07506957171,1.8967331363775,1.9018511794275001,1.9087973196509997,2.016182894252,1.8255400193770002,1.7555880901905,1.7868973189355
"Land use and forestry carbon stock change",-7.0977479669144,-7.2636720139496,-7.0529961350159,-7.0790565114431,-6.915503023137,-6.8720436646423,-6.7504954439776,-6.7407169174948,-6.7114195007836,-6.7680631713403,-6.4302881292932,-6.5209850366457,-6.565198207998,-6.3515018684596,-6.2828160411024,-6.4215403697339,-6.5547826608311,-6.7294583409094,-6.4972487603361,-6.5210733663144,-6.6168109762789,-6.5637432928059,-6.4793281877118,-6.4694282884899,-6.5974578608878,-6.434450713793,-6.427839087103,-6.4045586425673,-6.2923832510658,-6.1937233840986,-6.22746289897,-6.1354799154487
"Net total",75.7325887196415,73.4096765152246,74.03150708858799,76.13451336223271,77.4709487428941,76.7851638026981,79.51424191663929,79.0626811636131,80.01118856273509,82.21128654071647,83.17677040931402,83.29262920731091,84.1925733048125,86.8635513259675,88.1022440951597,89.06202241133279,81.9486309290711,82.42804531929339,77.5039757400301,73.82284082660682,74.17683753612489,74.02262285276629,65.7301402216488,65.22793555087229,68.40601599408653,66.30727153242631,64.46590427211177,58.521142581362774,65.43679886436628,60.7103712063123,51.94916286820249,56.917564137071984
"Gross total",82.326922360766,80.17003122477101,80.58132178106949,82.71039380696782,83.8834858637279,83.15444824500719,85.76200762162009,85.3006978254475,86.21993546470989,88.47670618147598,89.10440914839081,89.3106050304106,90.2557290822901,92.7139229188819,93.88488074052931,94.98401553702749,88.005072133593,88.65962750523359,83.5034767037754,79.8460874662484,80.29603897076899,80.08803462288178,71.7120574348246,71.19975341297219,74.50566213219953,72.24371107159611,70.39553094809037,64.42700668882208,71.23053845207087,66.40527032599411,57.6776020509045,62.57982196638948
