iso,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg
PHL,2001,35165.1917,18820546.66
PLW,2001,52.11206112,37863.09223
PNG,2001,36005.1351,25219368.96
POL,2001,19066.10208,5463951.821
PRI,2001,1252.362231,529425.5089
PRK,2001,11945.60949,2487198.872
PRT,2001,24405.37982,6182133.427
PRY,2001,150238.7329,36818855.79
PSE,2001,2.219302278,524.3781691
REU,2001,28.61721413,14474.40628
ROU,2001,17535.52879,6763983.023
RUS,2001,1826602.995,288121865.7
RWA,2001,1516.766321,607721.864
SDN,2001,26.94295316,8160.719582
SEN,2001,70.59427485,38766.04293
SGP,2001,43.45389467,13117.24996
SLB,2001,2187.117444,1590854.33
SLE,2001,18596.4253,7045594.681
SLV,2001,9499.391624,3460118.979
SOM,2001,339.3039459,80100.3972
SRB,2001,2379.5834,938537.6062
SSD,2001,4906.033993,1305421.7
STP,2001,77.22190502,46576.80546
SUR,2001,3688.947052,2674768.737
SVK,2001,3897.393159,1544277.852
SVN,2001,615.4603105,255689.7686
SWE,2001,144927.2266,27572321.17
SWZ,2001,6734.853711,3774686.993
SXM,2001,1.318283677,1061.853049
SYC,2001,0.379574768,120.3808408
SYR,2001,267.2352947,64831.51515
TCA,2001,7.72720305,1369.884581
TCD,2001,883.6264799,367991.8922
TGO,2001,2776.230616,742037.4164
THA,2001,36101.94359,18368307.09
TJK,2001,61.53772785,15563.04061
TKM,2001,46.21279329,10810.62344
TLS,2001,677.4261599,387975.2721
TTO,2001,1829.096035,873445.1052
TUN,2001,230.6704347,59031.88712
TUR,2001,22910.00549,5258788.193
TWN,2001,1159.068116,587435.9594
TZA,2001,82214.20404,29303449.8
UGA,2001,29658.94722,11560010.56
UKR,2001,28826.3802,8938030.487
UMI,2001,2.11971068,0
URY,2001,7647.452723,1749314.749
USA,2001,1943318.744,622169484.3
UZB,2001,294.820902,66760.11202
VCT,2001,6.896545779,3432.118951
VEN,2001,123881.1441,50367335.83
VGB,2001,4.092501168,1601.158512
VIR,2001,122.5133707,45290.39945
VNM,2001,47433.13018,23021538.75
VUT,2001,124.3332979,70389.41171
XAD,2001,1.648989262,382.7123224
XCA,2001,9.735251157,352.2385459
XKO,2001,1122.205429,444640.9008
XNC,2001,17.66158322,4908.941633
ZAF,2001,77644.6906,37428338.44
ZMB,2001,30123.7271,12200217.47
ZWE,2001,8205.934185,3098888.094
ABW,2002,0.526107732,27.98871114
AFG,2002,178.6403638,38859.82547
AGO,2002,61034.22727,20299187.04
AIA,2002,0.146329651,29.61057526
ALA,2002,277.8198771,55005.40652
ALB,2002,889.5171155,338698.0114
AND,2002,1.255022224,507.4926269
ARG,2002,105001.8622,25377671.38
ARM,2002,172.5385912,51702.62749
ATG,2002,17.65604165,5276.164718
AUS,2002,312150.1627,36670865.83
AUT,2002,10902.14988,4486380.052
AZE,2002,1154.205943,285679.3485
BDI,2002,986.9362126,312855.442
BEL,2002,2348.390596,1088407.001
BEN,2002,3480.187346,970534.211
BES,2002,2.106457457,576.22501
BFA,2002,4.3029109,146834.345
BGD,2002,3995.287574,1924878.799
BGR,2002,4638.738812,1278743.273
BHS,2002,700.9761365,197148.01
BIH,2002,692.6588558,267085.0897
BLR,2002,25383.4157,6914767.28
BLZ,2002,13473.73051,6185804.111
BMU,2002,0.717959402,206.1176439
BOL,2002,178807.9712,79888221.05
